SUBJECT;LABEL;DICE
117122;Amygdala;0.0
117122;GreyMatter;0.5224595528393382
117122;Hippocampus;0.06532929181592725
117122;Thalamus;0.0
117122;WhiteMatter;0.7433701619638285
117122-PP;Amygdala;0.0
117122-PP;GreyMatter;0.5224595528393382
117122-PP;Hippocampus;0.06532929181592725
117122-PP;Thalamus;0.0
117122-PP;WhiteMatter;0.7433701619638285
118528;Amygdala;0.0
118528;GreyMatter;0.2634517531276096
118528;Hippocampus;0.03516732841747022
118528;Thalamus;0.0
118528;WhiteMatter;0.4859138976504473
118528-PP;Amygdala;0.0
118528-PP;GreyMatter;0.2634517531276096
118528-PP;Hippocampus;0.03516732841747022
118528-PP;Thalamus;0.0
118528-PP;WhiteMatter;0.4859138976504473
118730;Amygdala;0.0
118730;GreyMatter;0.4922510462888545
118730;Hippocampus;0.05378828217592195
118730;Thalamus;0.0
118730;WhiteMatter;0.6313278643608877
118730-PP;Amygdala;0.0
118730-PP;GreyMatter;0.4922510462888545
118730-PP;Hippocampus;0.05378828217592195
118730-PP;Thalamus;0.0
118730-PP;WhiteMatter;0.6313278643608877
118932;Amygdala;0.0
118932;GreyMatter;0.5206155691267017
118932;Hippocampus;0.05952500953224089
118932;Thalamus;0.0
118932;WhiteMatter;0.7372142780593107
118932-PP;Amygdala;0.0
118932-PP;GreyMatter;0.5206155691267017
118932-PP;Hippocampus;0.05952500953224089
118932-PP;Thalamus;0.0
118932-PP;WhiteMatter;0.7372142780593107
120111;Amygdala;0.0
120111;GreyMatter;0.47420452502196697
120111;Hippocampus;0.06050281954887218
120111;Thalamus;0.0
120111;WhiteMatter;0.6716489630956555
120111-PP;Amygdala;0.0
120111-PP;GreyMatter;0.47420452502196697
120111-PP;Hippocampus;0.06050281954887218
120111-PP;Thalamus;0.0
120111-PP;WhiteMatter;0.6716489630956555
122317;Amygdala;0.0
122317;GreyMatter;0.5253401945201974
122317;Hippocampus;0.058120685768268725
122317;Thalamus;0.0
122317;WhiteMatter;0.6557355218926677
122317-PP;Amygdala;0.0
122317-PP;GreyMatter;0.5253401945201974
122317-PP;Hippocampus;0.058120685768268725
122317-PP;Thalamus;0.0
122317-PP;WhiteMatter;0.6557355218926677
122620;Amygdala;0.0
122620;GreyMatter;0.5200272789270288
122620;Hippocampus;0.058734400666879155
122620;Thalamus;0.0
122620;WhiteMatter;0.657244580336224
122620-PP;Amygdala;0.0
122620-PP;GreyMatter;0.5200272789270288
122620-PP;Hippocampus;0.058734400666879155
122620-PP;Thalamus;0.0
122620-PP;WhiteMatter;0.657244580336224
123117;Amygdala;0.0
123117;GreyMatter;0.3184140230424963
123117;Hippocampus;0.035929324389950015
123117;Thalamus;0.0
123117;WhiteMatter;0.035568795968954445
123117-PP;Amygdala;0.0
123117-PP;GreyMatter;0.3184140230424963
123117-PP;Hippocampus;0.035929324389950015
123117-PP;Thalamus;0.0
123117-PP;WhiteMatter;0.035568795968954445
123925;Amygdala;0.0
123925;GreyMatter;0.4263237869756945
123925;Hippocampus;0.056050996426386786
123925;Thalamus;0.0
123925;WhiteMatter;0.5610133014621997
123925-PP;Amygdala;0.0
123925-PP;GreyMatter;0.4263237869756945
123925-PP;Hippocampus;0.056050996426386786
123925-PP;Thalamus;0.0
123925-PP;WhiteMatter;0.5610133014621997
124422;Amygdala;0.0
124422;GreyMatter;0.3850445186297932
124422;Hippocampus;0.05355635321198428
124422;Thalamus;0.0
124422;WhiteMatter;0.49523284545445806
124422-PP;Amygdala;0.0
124422-PP;GreyMatter;0.3850445186297932
124422-PP;Hippocampus;0.05355635321198428
124422-PP;Thalamus;0.0
124422-PP;WhiteMatter;0.49523284545445806
